,hidden_nodes,learning_rate,epochs,performance,training_time
484,300.0,0.01,20.0,0.9783,1371.57
485,300.0,0.01,3.0,0.9548,302.02
486,300.0,0.01,4.0,0.9611,295.9
487,300.0,0.01,5.0,0.9637,378.83
488,300.0,0.01,6.0,0.9669,450.71
489,300.0,0.01,7.0,0.9692,480.52
490,300.0,0.01,8.0,0.9689,562.78
491,300.0,0.01,9.0,0.9716,622.89
492,300.0,0.1,1.0,0.9588,70.4
493,300.0,0.1,10.0,0.975,616.99
494,300.0,0.1,15.0,0.9771,904.41
495,300.0,0.1,2.0,0.968,143.47
496,300.0,0.1,20.0,0.9735,1225.15
497,300.0,0.1,3.0,0.9725,228.55
498,300.0,0.1,4.0,0.9734,303.2
499,300.0,0.1,5.0,0.9761,308.62
500,300.0,0.1,6.0,0.9753,374.99
501,300.0,0.1,7.0,0.9737,436.86
502,300.0,0.1,8.0,0.9743,477.46
503,300.0,0.1,9.0,0.9757,545.26
504,300.0,0.2,1.0,0.9629,204.29
505,300.0,0.2,10.0,0.9701,2280.09
506,300.0,0.2,15.0,0.9685,3367.51
507,300.0,0.2,2.0,0.9659,418.31
508,300.0,0.2,20.0,0.9656,4477.5
509,300.0,0.2,3.0,0.9704,780.31
510,300.0,0.2,4.0,0.9706,460.12
511,300.0,0.2,5.0,0.9701,956.77
512,300.0,0.2,6.0,0.968,1173.1
513,300.0,0.2,7.0,0.9672,1312.32
514,300.0,0.2,8.0,0.9708,1486.59
515,300.0,0.2,9.0,0.9686,1742.19
516,300.0,0.3,1.0,0.9487,201.36
517,300.0,0.3,10.0,0.96,648.85
518,300.0,0.3,15.0,0.956,987.35
519,300.0,0.3,2.0,0.9603,402.17
520,300.0,0.3,20.0,0.9487,1295.01
521,300.0,0.3,3.0,0.9622,612.76
522,300.0,0.3,4.0,0.9592,807.87
523,300.0,0.3,5.0,0.9592,893.39
524,300.0,0.3,6.0,0.9644,724.16
525,300.0,0.3,7.0,0.9595,501.46
526,300.0,0.3,8.0,0.9608,515.06
527,300.0,0.3,9.0,0.9622,581.42
528,300.0,0.4,1.0,0.9486,68.47
529,300.0,0.4,10.0,0.9531,580.41
530,300.0,0.4,15.0,0.9484,865.92
531,300.0,0.4,2.0,0.9471,137.48
532,300.0,0.4,20.0,0.9469,1140.68
533,300.0,0.4,3.0,0.9461,213.2
534,300.0,0.4,4.0,0.9468,270.86
535,300.0,0.4,5.0,0.9504,347.9
536,300.0,0.4,6.0,0.9529,414.4
537,300.0,0.4,7.0,0.9533,445.27
538,300.0,0.4,8.0,0.949,499.14
539,300.0,0.4,9.0,0.9516,525.13
540,300.0,0.5,1.0,0.9346,58.33
541,300.0,0.5,10.0,0.9385,558.09
542,300.0,0.5,15.0,0.9364,816.69
543,300.0,0.5,2.0,0.9355,117.64
544,300.0,0.5,20.0,0.9329,1116.2
545,300.0,0.5,3.0,0.9396,178.33
546,300.0,0.5,4.0,0.9454,236.97
547,300.0,0.5,5.0,0.9466,287.58
548,300.0,0.5,6.0,0.9424,344.73
549,300.0,0.5,7.0,0.9415,409.97
550,300.0,0.5,8.0,0.9361,442.98
551,300.0,0.5,9.0,0.9444,494.48
552,300.0,0.6,1.0,0.9202,200.15
553,300.0,0.6,10.0,0.9358,1956.2
554,300.0,0.6,15.0,0.9234,3348.87
555,300.0,0.6,2.0,0.9159,383.05
556,300.0,0.6,20.0,0.9059,4704.15
557,300.0,0.6,3.0,0.9238,752.36
558,300.0,0.6,4.0,0.8974,460.14
559,300.0,0.6,5.0,0.9064,585.66
560,300.0,0.6,6.0,0.9149,709.59
561,300.0,0.6,7.0,0.9042,945.75
562,300.0,0.6,8.0,0.9205,1519.15
563,300.0,0.6,9.0,0.913,1587.16
564,300.0,0.7,1.0,0.894,183.63
565,300.0,0.7,10.0,0.9021,642.81
566,300.0,0.7,15.0,0.9018,955.85
567,300.0,0.7,2.0,0.8434,379.02
568,300.0,0.7,20.0,0.9103,1291.26
569,300.0,0.7,3.0,0.9233,587.28
570,300.0,0.7,4.0,0.8968,762.1
571,300.0,0.7,5.0,0.9035,912.72
572,300.0,0.7,6.0,0.8752,1088.66
573,300.0,0.7,7.0,0.893,632.12
574,300.0,0.7,8.0,0.8973,683.53
575,300.0,0.7,9.0,0.9209,612.71
576,300.0,0.8,1.0,0.8612,65.22
577,300.0,0.8,10.0,0.8748,620.33
578,300.0,0.8,15.0,0.9022,961.59
579,300.0,0.8,2.0,0.8459,134.66
580,300.0,0.8,20.0,0.8744,1276.97
581,300.0,0.8,3.0,0.8694,201.02
582,300.0,0.8,4.0,0.872,268.54
583,300.0,0.8,5.0,0.8537,332.42
584,300.0,0.8,6.0,0.884,400.8
585,300.0,0.8,7.0,0.8766,442.02
586,300.0,0.8,8.0,0.8812,516.48
587,300.0,0.8,9.0,0.911,549.62
588,300.0,0.9,1.0,0.8317,63.16
589,300.0,0.9,10.0,0.8831,651.49
590,300.0,0.9,15.0,0.8735,952.99
591,300.0,0.9,2.0,0.8423,128.23
592,300.0,0.9,20.0,0.901,1251.29
593,300.0,0.9,3.0,0.8517,192.68
594,300.0,0.9,4.0,0.8603,257.64
595,300.0,0.9,5.0,0.8636,315.66
596,300.0,0.9,6.0,0.8209,385.17
597,300.0,0.9,7.0,0.8381,460.78
598,300.0,0.9,8.0,0.8488,505.2
599,300.0,0.9,9.0,0.8466,577.83
600,400.0,0.01,1.0,0.9223,221.53
601,400.0,0.01,10.0,0.9735,3399.09
602,400.0,0.01,15.0,0.9783,4362.98
603,400.0,0.01,2.0,0.9471,569.66
604,400.0,0.01,20.0,0.9773,2686.97
605,400.0,0.01,3.0,0.9546,1385.3
606,400.0,0.01,4.0,0.9622,960.62
607,400.0,0.01,5.0,0.9647,1607.98
608,400.0,0.01,6.0,0.9688,1461.63
609,400.0,0.01,7.0,0.9694,2057.03
610,400.0,0.01,8.0,0.9705,2534.67
611,400.0,0.01,9.0,0.9719,2727.73
612,400.0,0.1,1.0,0.9607,110.69
613,400.0,0.1,10.0,0.9758,920.72
614,400.0,0.1,15.0,0.9722,1246.01
615,400.0,0.1,2.0,0.968,220.67
616,400.0,0.1,20.0,0.9736,1658.31
617,400.0,0.1,3.0,0.9744,327.59
618,400.0,0.1,4.0,0.9742,398.29
619,400.0,0.1,5.0,0.975,505.07
620,400.0,0.1,6.0,0.9752,598.33
621,400.0,0.1,7.0,0.9764,704.89
622,400.0,0.1,8.0,0.9758,791.95
623,400.0,0.1,9.0,0.9759,906.64
624,400.0,0.2,1.0,0.9569,88.07
625,400.0,0.2,10.0,0.9702,864.55
626,400.0,0.2,15.0,0.9676,1169.82
627,400.0,0.2,2.0,0.966,172.4
628,400.0,0.2,20.0,0.9628,1530.63
629,400.0,0.2,3.0,0.9674,257.46
630,400.0,0.2,4.0,0.9708,356.35
631,400.0,0.2,5.0,0.9721,458.59
632,400.0,0.2,6.0,0.9654,552.06
633,400.0,0.2,7.0,0.9728,603.23
634,400.0,0.2,8.0,0.9713,703.04
635,400.0,0.2,9.0,0.9696,792.33
636,400.0,0.3,1.0,0.9592,76.77
637,400.0,0.3,10.0,0.9584,753.23
638,400.0,0.3,15.0,0.9592,1123.48
639,400.0,0.3,2.0,0.9621,153.12
640,400.0,0.3,20.0,0.9565,1435.83
641,400.0,0.3,3.0,0.9621,232.05
642,400.0,0.3,4.0,0.9636,306.59
643,400.0,0.3,5.0,0.9627,374.04
644,400.0,0.3,6.0,0.9616,443.45
645,400.0,0.3,7.0,0.9632,536.63
646,400.0,0.3,8.0,0.9647,607.05
647,400.0,0.3,9.0,0.9589,756.03
648,400.0,0.4,1.0,0.9351,264.01
649,400.0,0.4,10.0,0.9514,3374.0
650,400.0,0.4,15.0,0.9492,4194.8
651,400.0,0.4,2.0,0.9514,417.13
652,400.0,0.4,20.0,0.9438,2990.65
653,400.0,0.4,3.0,0.9538,1119.04
654,400.0,0.4,4.0,0.9509,946.98
655,400.0,0.4,5.0,0.9517,1488.07
656,400.0,0.4,6.0,0.9514,1692.41
657,400.0,0.4,7.0,0.9482,1949.63
658,400.0,0.4,8.0,0.9517,2542.78
659,400.0,0.4,9.0,0.9505,2802.38
660,400.0,0.5,1.0,0.9359,109.05
661,400.0,0.5,10.0,0.9221,953.23
662,400.0,0.5,15.0,0.9403,1246.21
663,400.0,0.5,2.0,0.9473,206.5
664,400.0,0.5,20.0,0.9454,1662.12
665,400.0,0.5,3.0,0.921,328.09
666,400.0,0.5,4.0,0.9423,439.03
667,400.0,0.5,5.0,0.9427,541.27
668,400.0,0.5,6.0,0.9354,606.87
669,400.0,0.5,7.0,0.9414,704.91
670,400.0,0.5,8.0,0.9361,817.39
671,400.0,0.5,9.0,0.9396,914.08
672,400.0,0.6,1.0,0.905,86.22
673,400.0,0.6,10.0,0.9047,726.14
674,400.0,0.6,15.0,0.9132,1101.27
675,400.0,0.6,2.0,0.9143,172.5
676,400.0,0.6,20.0,0.8981,1409.47
677,400.0,0.6,3.0,0.9066,262.86
678,400.0,0.6,4.0,0.9351,350.54
679,400.0,0.6,5.0,0.9166,438.62
680,400.0,0.6,6.0,0.9172,503.59
681,400.0,0.6,7.0,0.929,530.65
682,400.0,0.6,8.0,0.9152,602.02
683,400.0,0.6,9.0,0.9119,674.91
684,400.0,0.7,1.0,0.9037,70.38
685,400.0,0.7,10.0,0.8823,735.74
686,400.0,0.7,15.0,0.9,1099.35
687,400.0,0.7,2.0,0.8874,141.91
688,400.0,0.7,20.0,0.898,1458.15
689,400.0,0.7,3.0,0.8767,214.52
690,400.0,0.7,4.0,0.8859,284.9
691,400.0,0.7,5.0,0.885,353.43
692,400.0,0.7,6.0,0.8954,427.12
693,400.0,0.7,7.0,0.8831,502.56
694,400.0,0.7,8.0,0.9123,570.23
695,400.0,0.7,9.0,0.8708,644.99
696,400.0,0.8,1.0,0.8584,145.39
697,400.0,0.8,10.0,0.8828,2969.52
698,400.0,0.8,15.0,0.8628,4615.68
699,400.0,0.8,2.0,0.8869,507.27
700,400.0,0.8,20.0,0.8663,4094.77
701,400.0,0.8,3.0,0.8377,1014.2
702,400.0,0.8,4.0,0.867,691.3
703,400.0,0.8,5.0,0.8857,848.98
704,400.0,0.8,6.0,0.8788,1069.78
705,400.0,0.8,7.0,0.8541,1552.99
706,400.0,0.8,8.0,0.7806,1827.82
707,400.0,0.8,9.0,0.8315,2609.64
708,400.0,0.9,1.0,0.8141,120.9
709,400.0,0.9,10.0,0.8471,879.83
710,400.0,0.9,15.0,0.8435,1305.04
711,400.0,0.9,2.0,0.849,229.87
712,400.0,0.9,20.0,0.8893,1655.91
713,400.0,0.9,3.0,0.8536,298.6
714,400.0,0.9,4.0,0.8365,378.21
715,400.0,0.9,5.0,0.8368,471.56
716,400.0,0.9,6.0,0.8459,561.49
717,400.0,0.9,7.0,0.8719,645.3
718,400.0,0.9,8.0,0.8578,727.27
719,400.0,0.9,9.0,0.857,791.13
720,50.0,0.01,1.0,0.917,20.26
721,50.0,0.01,10.0,0.9524,240.79
722,50.0,0.01,15.0,0.9606,332.12
723,50.0,0.01,2.0,0.9297,40.13
724,50.0,0.01,20.0,0.9608,522.14
725,50.0,0.01,3.0,0.934,59.17
726,50.0,0.01,4.0,0.9394,76.15
727,50.0,0.01,5.0,0.946,96.16
728,50.0,0.01,6.0,0.9475,116.1
729,50.0,0.01,7.0,0.9536,133.08
730,50.0,0.01,8.0,0.9517,153.24
731,50.0,0.01,9.0,0.9519,183.86
732,50.0,0.1,1.0,0.9387,38.41
733,50.0,0.1,10.0,0.9591,209.02
734,50.0,0.1,15.0,0.9542,312.94
735,50.0,0.1,2.0,0.9445,78.53
736,50.0,0.1,20.0,0.9514,415.61
737,50.0,0.1,3.0,0.9463,60.67
738,50.0,0.1,4.0,0.9588,81.04
739,50.0,0.1,5.0,0.955,103.12
740,50.0,0.1,6.0,0.9561,122.33
741,50.0,0.1,7.0,0.9538,144.47
742,50.0,0.1,8.0,0.9577,161.53
743,50.0,0.1,9.0,0.9527,182.3
744,50.0,0.2,1.0,0.9295,20.38
745,50.0,0.2,10.0,0.942,205.91
746,50.0,0.2,15.0,0.9421,309.99
747,50.0,0.2,2.0,0.9432,40.65
748,50.0,0.2,20.0,0.9463,705.88
749,50.0,0.2,3.0,0.9484,61.38
750,50.0,0.2,4.0,0.9475,82.79
751,50.0,0.2,5.0,0.9496,103.58
752,50.0,0.2,6.0,0.9463,120.46
753,50.0,0.2,7.0,0.9402,202.66
754,50.0,0.2,8.0,0.9467,415.01
755,50.0,0.2,9.0,0.9393,407.56
756,50.0,0.3,1.0,0.9233,20.72
757,50.0,0.3,10.0,0.9263,205.42
758,50.0,0.3,15.0,0.94,315.65
759,50.0,0.3,2.0,0.9327,41.68
760,50.0,0.3,20.0,0.9395,417.46
761,50.0,0.3,3.0,0.9317,62.17
762,50.0,0.3,4.0,0.934,83.6
763,50.0,0.3,5.0,0.932,104.45
764,50.0,0.3,6.0,0.9312,124.96
765,50.0,0.3,7.0,0.9379,145.41
766,50.0,0.3,8.0,0.9248,166.91
767,50.0,0.3,9.0,0.9419,187.76
768,50.0,0.4,1.0,0.9184,19.13
769,50.0,0.4,10.0,0.9317,210.39
770,50.0,0.4,15.0,0.9322,306.18
771,50.0,0.4,2.0,0.9323,38.76
772,50.0,0.4,20.0,0.9303,422.24
773,50.0,0.4,3.0,0.9286,57.6
774,50.0,0.4,4.0,0.9207,78.18
775,50.0,0.4,5.0,0.9278,99.52
776,50.0,0.4,6.0,0.9346,115.95
777,50.0,0.4,7.0,0.9353,134.64
778,50.0,0.4,8.0,0.9316,156.8
779,50.0,0.4,9.0,0.9257,184.86
780,50.0,0.5,1.0,0.9104,20.85
781,50.0,0.5,10.0,0.9248,208.61
782,50.0,0.5,15.0,0.9182,317.23
783,50.0,0.5,2.0,0.9108,41.24
784,50.0,0.5,20.0,0.9129,430.43
785,50.0,0.5,3.0,0.9183,62.3
786,50.0,0.5,4.0,0.9106,82.86
787,50.0,0.5,5.0,0.9192,103.04
788,50.0,0.5,6.0,0.9183,158.27
789,50.0,0.5,7.0,0.9262,352.79
790,50.0,0.5,8.0,0.9252,352.52
791,50.0,0.5,9.0,0.9192,188.09
792,50.0,0.6,1.0,0.8976,47.54
793,50.0,0.6,10.0,0.9211,378.71
794,50.0,0.6,15.0,0.9154,579.65
795,50.0,0.6,2.0,0.8929,107.2
796,50.0,0.6,20.0,0.9153,513.9
797,50.0,0.6,3.0,0.9075,156.92
798,50.0,0.6,4.0,0.8885,213.01
799,50.0,0.6,5.0,0.907,228.76
800,50.0,0.6,6.0,0.9102,231.12
801,50.0,0.6,7.0,0.9138,266.37
802,50.0,0.6,8.0,0.9257,308.6
803,50.0,0.6,9.0,0.918,346.02
804,50.0,0.7,1.0,0.8744,21.48
805,50.0,0.7,10.0,0.9097,219.14
806,50.0,0.7,15.0,0.9058,325.44
807,50.0,0.7,2.0,0.8853,42.77
808,50.0,0.7,20.0,0.9088,438.55
809,50.0,0.7,3.0,0.8931,64.1
810,50.0,0.7,4.0,0.914,86.45
811,50.0,0.7,5.0,0.9154,107.09
812,50.0,0.7,6.0,0.8953,132.53
813,50.0,0.7,7.0,0.8972,152.0
814,50.0,0.7,8.0,0.9088,171.98
815,50.0,0.7,9.0,0.9159,195.01
816,50.0,0.8,1.0,0.8677,19.84
817,50.0,0.8,10.0,0.9032,236.39
818,50.0,0.8,15.0,0.9108,329.86
819,50.0,0.8,2.0,0.8576,39.45
820,50.0,0.8,20.0,0.8914,496.51
821,50.0,0.8,3.0,0.88,60.54
822,50.0,0.8,4.0,0.8739,78.42
823,50.0,0.8,5.0,0.9038,98.73
824,50.0,0.8,6.0,0.8915,117.53
825,50.0,0.8,7.0,0.9023,137.04
826,50.0,0.8,8.0,0.8891,159.16
827,50.0,0.8,9.0,0.8962,186.75
828,50.0,0.9,1.0,0.8773,37.88
829,50.0,0.9,10.0,0.873,351.3
830,50.0,0.9,15.0,0.8944,319.07
831,50.0,0.9,2.0,0.8784,44.41
832,50.0,0.9,20.0,0.9033,426.79
833,50.0,0.9,3.0,0.8477,80.95
834,50.0,0.9,4.0,0.8613,159.23
835,50.0,0.9,5.0,0.8927,200.76
836,50.0,0.9,6.0,0.8859,144.95
837,50.0,0.9,7.0,0.8816,148.51
838,50.0,0.9,8.0,0.8787,168.88
839,50.0,0.9,9.0,0.878,338.85
840,500.0,0.01,1.0,0.9267,117.86
841,500.0,0.01,10.0,0.9747,1178.45
842,500.0,0.01,15.0,0.9763,1653.14
843,500.0,0.01,2.0,0.9469,233.66
844,500.0,0.01,20.0,0.9787,1957.56
845,500.0,0.01,3.0,0.9572,345.4
846,500.0,0.01,4.0,0.9622,470.36
847,500.0,0.01,5.0,0.9661,586.47
848,500.0,0.01,6.0,0.9671,714.36
849,500.0,0.01,7.0,0.9705,828.63
850,500.0,0.01,8.0,0.972,948.84
851,500.0,0.01,9.0,0.9724,1062.27
852,500.0,0.1,1.0,0.9629,98.09
853,500.0,0.1,10.0,0.9739,981.57
854,500.0,0.1,15.0,0.9759,1309.33
855,500.0,0.1,2.0,0.9691,200.45
856,500.0,0.1,20.0,0.9739,1650.44
857,500.0,0.1,3.0,0.9693,296.3
858,500.0,0.1,4.0,0.9742,392.95
859,500.0,0.1,5.0,0.975,480.41
860,500.0,0.1,6.0,0.9751,588.09
861,500.0,0.1,7.0,0.9765,692.57
862,500.0,0.1,8.0,0.9767,773.85
863,500.0,0.1,9.0,0.9736,880.96
864,500.0,0.2,1.0,0.9628,233.31
865,500.0,0.2,10.0,0.97,2658.79
866,500.0,0.2,15.0,0.967,1757.65
867,500.0,0.2,2.0,0.9691,624.51
868,500.0,0.2,20.0,0.964,2319.47
869,500.0,0.2,3.0,0.9699,1463.9
870,500.0,0.2,4.0,0.9714,2259.9
871,500.0,0.2,5.0,0.971,3423.33
872,500.0,0.2,6.0,0.9692,2361.51
873,500.0,0.2,7.0,0.9687,2644.78
874,500.0,0.2,8.0,0.9679,3234.87
875,500.0,0.2,9.0,0.9667,3544.02
876,500.0,0.3,1.0,0.9585,117.67
877,500.0,0.3,10.0,0.964,1184.71
878,500.0,0.3,15.0,0.9602,1710.23
879,500.0,0.3,2.0,0.961,231.37
880,500.0,0.3,20.0,0.9591,2340.52
881,500.0,0.3,3.0,0.962,345.57
882,500.0,0.3,4.0,0.9625,458.88
883,500.0,0.3,5.0,0.9599,554.02
884,500.0,0.3,6.0,0.9675,599.13
885,500.0,0.3,7.0,0.9648,755.96
886,500.0,0.3,8.0,0.9582,953.96
887,500.0,0.3,9.0,0.9621,1038.27
888,500.0,0.4,1.0,0.9514,118.79
889,500.0,0.4,10.0,0.9581,972.91
890,500.0,0.4,15.0,0.9487,1473.09
891,500.0,0.4,2.0,0.9539,237.59
892,500.0,0.4,20.0,0.9498,1949.54
893,500.0,0.4,3.0,0.9528,348.82
894,500.0,0.4,4.0,0.9526,395.69
895,500.0,0.4,5.0,0.9549,489.27
896,500.0,0.4,6.0,0.9477,589.88
897,500.0,0.4,7.0,0.9558,662.69
898,500.0,0.4,8.0,0.9559,779.39
899,500.0,0.4,9.0,0.9511,887.76
900,500.0,0.5,1.0,0.9349,86.73
901,500.0,0.5,10.0,0.9424,842.19
902,500.0,0.5,15.0,0.934,1344.19
903,500.0,0.5,2.0,0.9301,174.56
904,500.0,0.5,20.0,0.9273,1617.25
905,500.0,0.5,3.0,0.9507,260.1
906,500.0,0.5,4.0,0.9377,349.92
907,500.0,0.5,5.0,0.9461,427.33
908,500.0,0.5,6.0,0.9357,508.62
909,500.0,0.5,7.0,0.9249,592.25
910,500.0,0.5,8.0,0.9467,677.16
911,500.0,0.5,9.0,0.945,750.49
912,500.0,0.6,1.0,0.9195,298.33
913,500.0,0.6,10.0,0.9033,2615.85
914,500.0,0.6,15.0,0.9178,2051.72
915,500.0,0.6,2.0,0.9337,638.75
916,500.0,0.6,20.0,0.8991,2730.67
917,500.0,0.6,3.0,0.9366,1648.42
918,500.0,0.6,4.0,0.9063,2606.49
919,500.0,0.6,5.0,0.931,3333.73
920,500.0,0.6,6.0,0.9025,2274.54
921,500.0,0.6,7.0,0.9181,2677.33
922,500.0,0.6,8.0,0.9101,3301.38
923,500.0,0.6,9.0,0.9045,3156.69
924,500.0,0.7,1.0,0.8883,137.57
925,500.0,0.7,10.0,0.9007,1060.15
926,500.0,0.7,15.0,0.9008,1462.17
927,500.0,0.7,2.0,0.9064,274.74
928,500.0,0.7,20.0,0.897,1882.69
929,500.0,0.7,3.0,0.8846,420.52
930,500.0,0.7,4.0,0.8603,539.11
931,500.0,0.7,5.0,0.9065,606.61
932,500.0,0.7,6.0,0.9163,645.77
933,500.0,0.7,7.0,0.8788,758.28
934,500.0,0.7,8.0,0.8829,847.66
935,500.0,0.7,9.0,0.9071,965.41
936,500.0,0.8,1.0,0.8702,94.57
937,500.0,0.8,10.0,0.8804,882.61
938,500.0,0.8,15.0,0.8648,1321.08
939,500.0,0.8,2.0,0.8937,189.86
940,500.0,0.8,20.0,0.912,1770.79
941,500.0,0.8,3.0,0.8716,280.92
942,500.0,0.8,4.0,0.8644,347.92
943,500.0,0.8,5.0,0.8493,437.36
944,500.0,0.8,6.0,0.8756,522.81
945,500.0,0.8,7.0,0.8872,610.19
946,500.0,0.8,8.0,0.9092,706.15
947,500.0,0.8,9.0,0.881,792.05
948,500.0,0.9,1.0,0.8404,87.55
949,500.0,0.9,10.0,0.8909,811.91
950,500.0,0.9,15.0,0.883,1195.74
951,500.0,0.9,2.0,0.8338,175.67
952,500.0,0.9,20.0,0.863,1608.08
953,500.0,0.9,3.0,0.8516,266.05
954,500.0,0.9,4.0,0.8674,349.97
955,500.0,0.9,5.0,0.8781,424.96
956,500.0,0.9,6.0,0.861,507.29
957,500.0,0.9,7.0,0.8483,570.75
958,500.0,0.9,8.0,0.8656,643.84
959,500.0,0.9,9.0,0.838,716.75
